Sample,X,Y,Z
218,-0.012,1.004,1.094
219,-0.305,1.293,0.691
220,0.316,0.969,0.906
221,0.336,1.348,1.191
222,-0.754,1.836,1.305
223,0.051,1.012,1.113
224,-0.137,0.617,0.637
225,-0.445,1.527,1.242
226,0.926,1.441,0.719
227,-0.109,1.098,1.113
228,-0.160,0.941,1.434
229,0.211,0.473,0.727
230,-0.750,1.098,0.848
231,0.207,1.305,1.121
232,0.207,1.082,0.727
233,0.035,1.785,0.586
234,0.660,0.820,1.082
235,-0.383,1.164,1.004
236,0.789,1.148,1.363
237,0.070,0.059,0.660
238,-0.105,1.219,0.762
239,0.723,0.656,0.801
240,-0.172,1.016,1.086
241,0.234,0.906,1.152
242,0.055,0.387,0.914
243,-0.055,1.121,1.012
244,0.227,0.027,0.746
245,-0.289,1.066,0.547
246,0.016,0.578,1.406
247,-0.133,0.344,0.762
248,-0.270,1.383,1.168
249,-0.293,-0.051,1.137
250,-0.055,1.070,0.512
251,-0.402,-0.020,1.633
252,-0.484,0.320,0.359
253,-0.051,-0.969,1.516
254,-0.316,-1.012,1.020
255,0.352,-0.512,0.727
256,0.047,-1.375,1.250
257,0.113,-0.023,0.305
258,0.508,-0.953,1.531
259,-0.188,-0.258,0.203
260,0.344,-0.711,1.695
261,0.000,-0.266,0.500
262,-0.047,0.480,1.332
263,0.199,-0.953,1.168
264,-0.137,-0.480,0.133
265,0.414,-1.562,1.070
266,0.055,-0.578,-0.367
267,0.621,-1.109,1.508
268,0.023,-0.949,-0.098
269,-0.355,-0.680,1.777
270,0.645,-1.730,0.613
271,-0.707,-1.379,1.270
272,-0.195,-1.375,0.680
273,0.426,-1.125,0.969
274,-0.406,-0.941,1.297
275,0.094,-1.223,1.195
276,-0.516,-1.066,1.316
277,-0.707,-1.703,1.633
278,0.211,-1.246,0.898
279,-0.664,-1.109,1.238
280,0.316,-0.957,0.707
281,-0.113,-0.977,1.512
282,-0.188,-1.043,1.172
283,0.383,-0.984,1.258
284,-0.641,-1.273,0.746
285,-0.031,-1.008,1.070
286,0.688,-1.059,0.883
287,-0.414,-1.098,1.133
288,0.586,-1.090,0.574
289,0.008,-1.500,1.027
290,-0.438,-1.219,0.594
291,1.180,-0.605,0.391
292,0.074,-1.293,0.973
293,-0.188,-1.164,1.027
294,0.805,-1.059,0.355
295,-0.531,-1.582,1.312
296,-0.246,-1.285,0.785
297,0.480,-0.797,0.629
298,-0.637,-1.301,1.363
299,0.094,-1.152,0.785
300,-0.238,-0.820,1.438
