Sample,X,Y,Z
0,-0.008,0.395,0.980
1,-0.004,-0.008,1.020
2,-0.008,-0.004,1.039
3,-0.012,0.012,0.996
4,0.004,-0.008,1.020
5,-0.004,0.012,1.027
6,0.008,0.016,0.957
7,-0.012,0.008,1.023
8,-0.012,0.008,1.035
9,0.008,0.000,1.012
10,0.004,0.012,1.043
11,-0.008,0.000,1.055
12,-0.016,-0.012,1.031
13,-0.016,0.004,0.996
14,0.008,-0.008,1.020
15,0.020,0.012,1.039
16,-0.004,0.012,1.023
17,-0.004,0.012,1.016
18,0.012,0.023,1.004
19,-0.008,0.012,1.008
20,-0.004,0.000,1.027
21,-0.004,0.004,1.020
22,-0.008,0.012,1.074
23,0.008,0.004,1.012
24,0.000,0.012,1.090
25,0.023,0.004,0.941
26,-0.023,0.008,1.035
27,-0.039,-0.004,1.000
28,0.016,0.012,1.039
29,0.008,0.027,1.008
30,0.004,0.020,1.059
31,-0.012,0.000,0.973
32,0.000,0.008,1.066
33,-0.012,0.016,1.012
34,-0.004,-0.008,1.008
35,-0.004,-0.004,1.047
36,-0.016,0.004,1.055
37,-0.008,0.012,1.012
38,-0.004,0.023,1.035
39,0.008,0.008,1.066
40,0.008,0.016,1.035
41,-0.004,0.023,1.027
42,0.008,0.012,1.047
43,0.000,0.004,1.027
44,0.008,-0.004,0.980
45,-0.012,0.012,1.027
46,0.000,0.004,1.016
47,0.000,0.008,1.012
48,0.016,0.027,1.027
49,-0.004,0.023,1.051
50,-0.004,0.016,1.051
51,0.027,0.012,1.027
52,-0.004,0.012,0.984
53,-0.020,0.023,1.066
54,0.016,0.008,0.984
55,-0.008,0.012,1.031
56,0.000,0.000,1.000
57,-0.008,0.000,1.031
58,-0.008,-0.004,1.020
59,0.020,0.023,1.012
60,0.012,0.016,0.980
61,-0.008,0.000,1.023
62,-0.012,0.020,1.023
63,0.008,0.027,1.012
64,0.004,0.016,0.992
65,-0.020,0.000,1.035
66,0.012,0.008,1.016
