Sample,X,Y,Z
221,-0.008,0.406,0.543
222,0.090,0.984,1.008
223,-0.156,1.168,1.582
224,-0.242,0.867,0.961
225,0.633,0.348,0.465
226,0.055,0.316,0.469
227,-0.703,0.418,1.410
228,1.520,1.148,-0.012
229,-0.312,1.582,1.398
230,-0.129,0.898,1.445
231,0.836,0.711,-0.180
232,-1.281,0.352,1.578
233,0.887,0.984,0.828
234,0.992,1.445,0.816
235,-0.820,0.371,0.809
236,1.277,0.719,0.832
237,-0.195,0.719,1.363
238,-0.355,0.746,0.871
239,1.195,0.781,0.887
240,-1.242,0.371,1.039
241,0.230,1.246,0.508
242,0.746,1.875,1.500
243,-0.891,1.836,1.559
244,1.031,1.273,0.219
245,-0.734,-0.059,1.355
246,-1.039,0.770,0.277
247,1.031,1.164,1.320
248,-1.273,1.156,1.648
249,0.402,1.277,-0.176
250,0.445,0.660,1.465
251,-1.168,0.445,0.602
252,1.363,0.664,0.242
253,-1.156,0.078,1.602
254,0.895,-0.242,0.332
255,0.363,-1.676,1.660
256,-0.246,-1.992,0.500
257,1.324,-1.992,0.387
258,-1.547,-1.992,1.070
259,0.133,-1.895,-0.418
260,-0.746,-1.773,1.352
261,0.605,-0.578,-0.125
262,1.008,0.832,1.934
263,-0.648,0.918,1.090
264,1.574,0.066,-0.891
265,-1.898,-0.594,1.543
266,0.484,0.051,-0.770
267,1.137,0.508,1.344
268,-1.648,-0.262,1.422
269,1.629,-0.797,-0.531
270,-1.055,-1.992,1.879
271,-0.250,-1.738,-0.152
272,1.305,-1.742,0.844
273,-0.070,-1.766,0.914
274,0.078,-1.660,-0.336
275,-0.727,-1.559,1.660
276,0.961,-1.074,0.371
277,-0.918,0.777,1.512
278,0.836,1.113,1.270
279,0.578,-0.379,-0.062
280,-1.383,-0.691,0.570
281,0.926,-0.109,0.133
282,-0.691,0.324,1.570
283,0.742,-0.629,1.297
284,0.336,-1.340,0.969
285,-0.699,-1.824,1.176
286,0.906,-1.906,0.441
287,-0.160,-1.250,1.301
288,-0.422,-1.680,0.891
289,0.242,-1.688,0.758
290,0.156,-0.582,1.156
