Sample,X,Y,Z
211,-1.434,0.133,0.840
212,-0.746,-0.051,0.594
213,-1.582,0.137,1.477
214,-1.742,-0.258,0.953
215,-1.062,-0.020,0.457
216,-1.305,0.438,0.801
217,-1.434,0.148,1.191
218,-1.152,-0.035,0.867
219,-1.367,0.492,0.586
220,-1.664,-0.273,1.359
221,-0.926,-0.109,1.070
222,-1.141,0.098,1.078
223,-1.340,-0.551,0.859
224,-1.035,0.129,1.051
225,-1.090,-0.176,1.508
226,-1.547,-0.070,0.859
227,-1.141,0.398,1.211
228,-0.727,-0.523,0.844
229,-1.340,0.059,1.395
230,-0.641,0.719,1.023
231,-1.293,0.383,0.926
232,-1.375,0.430,1.383
233,-1.375,0.430,1.383
234,-0.664,0.062,0.645
235,-1.625,0.098,0.531
236,-1.438,0.281,1.051
237,-0.871,0.031,1.133
238,-1.695,0.316,1.230
239,-1.277,-0.473,0.781
240,-1.273,0.105,0.359
241,-1.438,0.156,1.250
242,-0.703,-0.320,0.918
243,-1.395,0.340,0.906
244,-1.234,-0.535,1.254
245,-1.301,-0.309,0.520
246,-1.301,-0.309,0.520
247,-0.926,-0.344,1.480
248,-0.598,-0.496,0.738
249,-0.996,0.133,1.852
250,-0.039,-0.449,1.188
251,-1.273,0.645,0.965
252,-0.539,-0.039,1.227
253,-0.547,0.184,0.254
254,-0.879,0.094,1.738
255,-0.141,-0.289,0.559
256,-0.906,-0.035,1.316
257,-0.641,-0.211,0.574
258,-0.574,0.586,0.410
259,-0.621,0.414,0.461
260,-0.523,0.883,0.465
261,-0.801,0.160,0.668
262,-1.215,0.402,0.742
263,-0.430,-0.367,0.961
264,-0.906,-0.457,0.652
265,0.543,-0.555,1.531
266,0.438,-0.082,1.496
267,0.238,-0.254,1.914
268,0.898,-0.441,1.000
269,-0.133,-0.383,1.852
270,1.230,-0.418,0.969
271,0.492,0.039,1.633
272,0.664,-0.645,1.379
273,1.059,1.008,1.316
274,1.469,0.875,1.039
275,1.500,0.539,0.711
276,1.484,-0.387,0.602
277,0.902,0.059,0.465
278,1.469,0.145,0.453
279,1.160,0.125,0.336
280,1.004,-0.227,0.930
281,1.590,-0.047,-0.109
282,1.160,0.715,0.605
283,1.652,-0.594,-0.082
284,1.051,0.039,0.699
285,0.762,-0.055,1.023
286,1.082,0.340,1.008
287,0.934,-0.066,1.734
288,1.145,-0.395,0.664
289,0.723,-0.023,1.508
290,1.312,-0.535,1.117
291,0.777,0.016,1.426
292,0.742,-0.195,1.812
293,1.461,-0.629,1.160
294,0.883,0.117,1.906
295,1.855,0.773,1.039
296,1.680,0.992,1.008
297,1.027,0.188,0.828
298,1.543,-0.680,0.742
299,0.762,-0.500,1.488
300,1.707,0.293,0.781
301,1.430,0.148,0.344
302,0.984,0.059,0.617
303,1.816,-0.055,0.203
304,0.660,-0.109,0.746
305,1.398,0.254,-0.148
306,1.379,-0.188,0.195
307,0.484,-0.141,0.484
308,1.926,0.535,0.527
309,1.180,-0.199,1.195
310,0.750,-0.059,0.777
311,1.508,-0.281,1.105
312,0.254,-0.852,1.355
313,1.121,-0.086,1.551
314,1.633,-0.266,1.418
315,0.484,0.312,1.840
316,1.484,0.566,1.508
317,1.125,0.113,1.730
318,0.770,-0.070,1.422
319,1.488,-0.043,1.211
320,1.355,0.039,1.523
321,1.289,0.207,1.000
322,1.184,-0.379,1.078
323,1.090,-0.156,0.777
324,0.973,0.012,0.246
325,1.422,-0.656,0.199
326,1.371,0.289,0.578
327,0.922,0.133,0.633
328,1.699,-0.188,0.609
329,1.070,0.605,0.980
330,1.016,0.133,0.629
331,1.312,0.094,0.191
332,0.719,-0.527,0.734
333,1.453,0.266,1.340
334,0.980,0.301,0.953
335,1.391,-0.449,1.297
336,1.203,-0.156,1.582
337,1.098,0.094,1.844
338,1.062,-0.125,1.020
339,0.672,-0.105,1.184
340,0.844,-0.062,1.449
341,1.387,0.289,1.270
342,1.387,0.289,1.270
343,1.023,0.293,1.320
344,1.477,-0.098,1.559
345,0.738,-0.031,1.309
346,1.379,-0.391,0.840
347,0.965,-0.500,0.363
348,1.277,-0.133,0.914
349,0.879,0.031,0.930
350,1.301,0.883,0.852
351,1.195,-0.133,0.656
352,1.355,0.059,1.000
353,1.504,-0.164,-0.176
354,1.023,0.441,0.691
355,1.379,0.438,1.109
356,1.148,-0.016,0.871
357,1.535,-0.230,1.117
358,1.426,-0.406,0.941
359,0.906,-0.016,1.336
360,1.125,-0.430,0.922
361,0.699,-0.152,0.945
362,1.266,0.344,1.398
363,1.840,0.414,1.363
364,0.715,0.457,1.727
365,1.371,0.141,1.121
366,1.039,-0.234,0.871
367,0.891,-0.633,1.062
368,1.777,-0.293,1.184
369,1.031,0.043,1.426
370,0.918,-0.312,0.723
371,1.223,-0.160,0.922
372,1.035,0.395,0.930
373,1.574,0.523,0.801
374,1.672,0.113,0.660
375,1.086,-0.262,0.988
376,0.812,-0.359,0.703
377,1.469,0.430,0.531
378,1.680,-0.152,0.934
379,1.297,-0.129,0.883
380,1.305,-0.031,1.043
381,1.055,-0.250,0.949
382,1.031,0.066,0.941
383,1.488,-0.191,0.949
384,1.074,0.508,1.211
385,1.180,0.211,1.340
386,1.574,-0.680,1.102
387,0.832,-0.164,1.164
388,1.508,0.152,0.973
389,0.832,0.121,1.324
390,0.621,-0.516,1.348
391,1.609,-0.129,1.086
392,1.285,0.902,1.059
393,1.305,0.121,0.805
394,1.551,-0.312,1.113
395,1.422,-0.074,1.137
396,1.664,-0.023,0.734
397,1.324,0.047,0.840
398,1.184,-0.641,0.859
399,1.047,-0.020,0.805
400,1.367,0.262,0.570
401,1.703,-0.094,0.867
402,1.117,0.418,1.195
403,1.297,0.059,0.617
404,1.219,-0.051,0.578
405,1.168,0.254,1.516
406,1.605,0.262,1.137
407,0.820,-0.176,0.773
408,0.781,-0.930,0.789
409,1.066,0.109,1.598
410,0.711,0.332,1.199
411,1.039,-0.133,0.352
412,1.113,0.109,1.309
413,0.492,-0.336,1.691
