Sample,X,Y,Z
0,0.016,0.117,1.078
1,0.012,0.008,1.016
2,0.020,0.012,1.012
3,0.012,0.008,0.969
4,0.008,0.023,1.031
5,0.012,0.008,1.020
6,0.008,0.016,0.984
7,0.008,0.008,1.016
8,0.004,0.008,1.020
9,0.027,0.012,1.008
10,0.004,0.004,1.012
11,0.020,0.016,1.020
12,0.012,0.012,1.020
13,0.008,0.016,1.031
14,0.016,0.012,1.023
15,0.023,0.016,1.016
16,0.008,0.008,1.016
17,0.020,0.016,1.012
18,0.012,0.008,0.992
19,0.012,0.012,1.008
20,0.008,0.008,0.992
21,0.035,0.012,1.020
22,0.004,0.008,1.008
23,0.012,0.012,0.988
24,0.004,0.016,0.969
25,0.016,0.008,1.031
26,0.043,0.000,1.000
27,0.008,0.020,1.035
28,0.000,0.020,0.980
29,0.020,0.023,1.000
30,0.031,0.000,0.992
31,-0.004,0.004,1.008
32,0.016,0.012,1.000
33,0.004,0.012,1.008
34,0.020,0.012,1.000
35,0.008,0.016,0.992
36,0.008,0.016,0.992
37,0.008,0.012,1.012
38,0.016,0.020,1.004
39,0.004,0.004,1.031
40,0.012,0.008,1.047
41,0.016,0.008,1.012
42,0.008,0.016,0.996
43,0.035,0.020,1.004
44,0.027,0.008,1.023
45,0.008,-0.004,1.020
46,0.020,0.008,0.969
47,0.020,0.020,0.984
48,0.035,0.008,1.070
49,0.035,0.008,1.035
50,0.012,0.012,1.020
51,0.016,0.016,0.980
52,0.020,0.020,1.000
53,0.023,0.012,0.969
54,0.000,0.016,0.977
55,0.008,0.016,0.996
56,0.016,0.023,1.004
57,0.023,0.020,1.008
58,0.008,0.008,1.027
59,0.020,0.008,1.012
60,0.008,0.012,1.004
61,0.008,0.008,1.012
62,0.004,0.004,1.016
63,0.016,0.000,1.008
64,0.027,0.016,1.012
65,0.008,0.016,0.977
66,0.012,0.016,1.012
67,0.023,0.012,1.020
68,0.012,0.020,1.012
69,0.004,0.020,1.008
70,0.016,0.004,1.012
71,0.020,0.020,1.035
72,0.062,0.004,0.988
73,0.023,0.008,1.062
74,-0.004,0.000,1.035
75,0.023,0.008,0.988
76,0.012,0.020,1.000
77,0.004,0.012,1.027
78,0.035,0.016,1.035
79,0.012,0.004,1.016
80,0.012,0.020,1.027
81,0.020,0.016,1.000
82,0.012,0.000,1.039
83,0.020,0.004,0.992
84,0.023,0.027,1.008
85,0.004,0.016,0.984
86,0.023,0.023,0.965
87,0.012,0.020,0.988
88,0.008,0.109,1.012
89,-0.004,0.262,1.262
90,-0.480,0.199,1.523
91,-0.914,0.273,1.945
92,-1.770,0.105,1.543
93,-1.809,-1.137,0.234
94,-1.992,-0.551,0.797
95,-1.949,1.410,1.695
96,-1.449,1.469,1.871
97,-1.988,-0.578,0.781
98,-1.992,-1.602,-0.547
99,-1.625,-1.043,-0.129
100,-1.559,0.516,0.766
101,0.160,0.703,1.082
102,-0.512,-0.633,0.414
103,-0.910,-0.301,-1.066
104,0.258,0.141,0.520
105,-0.867,0.887,1.938
106,0.020,0.645,1.492
107,-0.570,-0.605,0.586
108,-0.961,-0.836,0.664
109,-0.301,0.793,1.625
110,-0.504,1.484,1.973
111,-0.371,0.168,1.613
112,-0.523,-0.141,0.645
113,-1.434,0.094,0.785
114,-1.883,-0.227,1.777
115,-1.473,-0.109,1.145
116,-1.957,-0.500,1.312
117,-1.648,-1.121,1.602
118,-1.867,-0.031,1.375
119,-1.617,0.629,1.801
120,-0.984,0.266,1.270
121,-1.484,-0.055,0.371
122,-0.582,-0.324,0.242
